Tabela Z com mu=0 e sigma=6.00,
z,0,1,2,3,4,5,6,7,8,9
0.0,0.0000000000,0.0039893563,0.0079783137,0.0119664734,0.0159534368,0.0199388058,0.0239221826,0.0279031701,0.0318813720,0.0358563925
0.1,0.0398278378,0.0437953131,0.0477584266,0.0517167872,0.0556700053,0.0596176929,0.0635594634,0.0674949322,0.0714237164,0.0753454353
0.2,0.0792597106,0.0831661646,0.0870644238,0.0909541162,0.0948348728,0.0987063268,0.1025681143,0.1064198743,0.1102612486,0.1140918823
0.3,0.1179114267,0.1217195263,0.1255158392,0.1293000234,0.1330717405,0.1368306556,0.1405764376,0.1443087592,0.1480272968,0.1517317309
0.4,0.1554217438,0.1590970284,0.1627572753,0.1664021815,0.1700314484,0.1736447818,0.1772418918,0.1808224933,0.1843863056,0.1879330526
0.5,0.1914624612,0.1949742691,0.1984682124,0.2019440346,0.2054014837,0.2088403132,0.2122602811,0.2156611509,0.2190426911,0.2224046752
0.6,0.2257468901,0.2290691041,0.2323711143,0.2356527156,0.2389137080,0.2421538968,0.2453730929,0.2485711125,0.2517477770,0.2549029138
0.7,0.2580363626,0.2611479466,0.2642375169,0.2673049222,0.2703500173,0.2733726619,0.2763727218,0.2793500678,0.2823045764,0.2852361297
0.8,0.2881446221,0.2910299326,0.2938919668,0.2967306283,0.2995458267,0.3023374767,0.3051054984,0.3078498174,0.3105703645,0.3132670761
0.9,0.3159399000,0.3185887702,0.3212136453,0.3238144824,0.3263912441,0.3289438979,0.3314724165,0.3339767777,0.3364569642,0.3389129637
1.0,0.3413447749,0.3437523835,0.3461357978,0.3484950251,0.3508300773,0.3531409710,0.3554277274,0.3576903724,0.3599289364,0.3621434542
1.1,0.3643339702,0.3665005175,0.3686431494,0.3707619178,0.3728568792,0.3749280938,0.3769756260,0.3789995443,0.3809999209,0.3829768320
1.2,0.3849303621,0.3868605855,0.3887675941,0.3906514788,0.3925123337,0.3943502568,0.3961653489,0.3979577146,0.3997274613,0.4014746999
1.3,0.4031995481,0.4049021144,0.4065825228,0.4082408957,0.4098773585,0.4114920391,0.4130850682,0.4146565789,0.4162067069,0.4177355902
1.4,0.4192433728,0.4207301902,0.4221961907,0.4236415212,0.4250663308,0.4264707703,0.4278549925,0.4292191520,0.4305634052,0.4318879102
1.5,0.4331928296,0.4344783183,0.4357445421,0.4369916650,0.4382198523,0.4394292706,0.4406200875,0.4417924720,0.4429465940,0.4440826243
1.6,0.4452007373,0.4463011004,0.4473838897,0.4484492792,0.4494974437,0.4505285587,0.4515428001,0.4525403441,0.4535213676,0.4544860477
1.7,0.4554345641,0.4563670899,0.4572838052,0.4581848879,0.4590705161,0.4599408678,0.4607961209,0.4616364534,0.4624620430,0.4632730672
1.8,0.4640697053,0.4648521304,0.4656205211,0.4663750537,0.4671159040,0.4678432475,0.4685572589,0.4692581125,0.4699459821,0.4706210406
1.9,0.4712834620,0.4719334148,0.4725710713,0.4731966018,0.4738101753,0.4744119603,0.4750021243,0.4755808338,0.4761482544,0.4767045506
2.0,0.4772498809,0.4777844181,0.4783083185,0.4788217424,0.4793248490,0.4798177962,0.4803007409,0.4807738389,0.4812372444,0.4816911108
2.1,0.4821355857,0.4825708282,0.4829969833,0.4834141992,0.4838226224,0.4842223982,0.4846136707,0.4849965824,0.4853712745,0.4857378867
2.2,0.4860965541,0.4864474205,0.4867906178,0.4871262801,0.4874545401,0.4877755288,0.4880893760,0.4883962099,0.4886961571,0.4889893430
2.3,0.4892758886,0.4895559216,0.4898295600,0.4900969231,0.4903581288,0.4906132932,0.4908625312,0.4911059562,0.4913436798,0.4915758125
2.4,0.4918024608,0.4920237366,0.4922397433,0.4924505856,0.4926563661,0.4928571864,0.4930531464,0.4932443446,0.4934308782,0.4936128426
2.5,0.4937903304,0.4939634378,0.4941322543,0.4942968697,0.4944573727,0.4946138503,0.4947663882,0.4949150707,0.4950599808,0.4952012000
2.6,0.4953388074,0.4954728844,0.4956035073,0.4957307523,0.4958546945,0.4959754074,0.4960929635,0.4962074338,0.4963188883,0.4964273954
2.7,0.4965330217,0.4966358352,0.4967358999,0.4968332796,0.4969280367,0.4970202328,0.4971099281,0.4971971816,0.4972820514,0.4973645944
2.8,0.4974448655,0.4975229209,0.4975988136,0.4976725959,0.4977443195,0.4978140349,0.4978817914,0.4979476376,0.4980116208,0.4980737876
2.9,0.4981341830,0.4981928526,0.4982498395,0.4983051865,0.4983589354,0.4984111271,0.4984618016,0.4985109982,0.4985587551,0.4986051099
3.0,0.4986500987,0.4986937584,0.4987361235,0.4987772284,0.4988171064,0.4988557904,0.4988933123,0.4989297035,0.4989649945,0.4989992151
3.1,0.4990323941,0.4990645607,0.4990957423,0.4991259660,0.4991552584,0.4991836454,0.4992111521,0.4992378031,0.4992636226,0.4992886340
3.2,0.4993128599,0.4993363230,0.4993590449,0.4993810469,0.4994023496,0.4994229731,0.4994429371,0.4994622608,0.4994809629,0.4994990614
3.3,0.4995165741,0.4995335184,0.4995499111,0.4995657685,0.4995811065,0.4995959407,0.4996102862,0.4996241577,0.4996375695,0.4996505356
3.4,0.4996630693,0.4996751842,0.4996868930,0.4996982081,0.4997091417,0.4997197055,0.4997299112,0.4997397697,0.4997492920,0.4997584887
3.5,0.4997673698,0.4997759456,0.4997842256,0.4997922192,0.4997999355,0.4998073835,0.4998145717,0.4998215085,0.4998282021,0.4998346602
3.6,0.4998408906,0.4998469007,0.4998526977,0.4998582886,0.4998636802,0.4998688791,0.4998738917,0.4998787241,0.4998833824,0.4998878724
3.7,0.4998921996,0.4998963698,0.4999003880,0.4999042595,0.4999079893,0.4999115822,0.4999150428,0.4999183757,0.4999215853,0.4999246759
3.8,0.4999276515,0.4999305161,0.4999332737,0.4999359279,0.4999384824,0.4999409407,0.4999433061,0.4999455819,0.4999477714,0.4999498775
3.9,0.4999519033,0.4999538516,0.4999557252,0.4999575267,0.4999592589,0.4999609241,0.4999625248,0.4999640634,0.4999655421,0.4999669631
4.0,0.4999683285,0.4999696404,0.4999709007,0.4999721113,0.4999732742,0.4999743910,0.4999754634,0.4999764932,0.4999774819,0.4999784311
4.1,0.4999793423,0.4999802169,0.4999810562,0.4999818617,0.4999826345,0.4999833761,0.4999840875,0.4999847699,0.4999854244,0.4999860521
4.2,0.4999866541,0.4999872313,0.4999877847,0.4999883153,0.4999888239,0.4999893113,0.4999897785,0.4999902262,0.4999906552,0.4999910662
4.3,0.4999914600,0.4999918372,0.4999921984,0.4999925444,0.4999928758,0.4999931930,0.4999934968,0.4999937876,0.4999940659,0.4999943324
4.4,0.4999945874,0.4999948314,0.4999950649,0.4999952883,0.4999955020,0.4999957064,0.4999959019,0.4999960889,0.4999962678,0.4999964388
4.5,0.4999966022,0.4999967585,0.4999969079,0.4999970507,0.4999971872,0.4999973176,0.4999974422,0.4999975613,0.4999976750,0.4999977837
4.6,0.4999978875,0.4999979866,0.4999980812,0.4999981716,0.4999982579,0.4999983403,0.4999984189,0.4999984939,0.4999985656,0.4999986339
4.7,0.4999986991,0.4999987614,0.4999988207,0.4999988773,0.4999989313,0.4999989829,0.4999990320,0.4999990788,0.4999991235,0.4999991660
4.8,0.4999992066,0.4999992453,0.4999992822,0.4999993173,0.4999993507,0.4999993826,0.4999994130,0.4999994420,0.4999994695,0.4999994958
4.9,0.4999995208,0.4999995446,0.4999995672,0.4999995888,0.4999996093,0.4999996289,0.4999996475,0.4999996652,0.4999996820,0.4999996980
5.0,0.4999997133,0.4999997278,0.4999997416,0.4999997547,0.4999997672,0.4999997790,0.4999997903,0.4999998010,0.4999998112,0.4999998209
5.1,0.4999998301,0.4999998389,0.4999998472,0.4999998551,0.4999998626,0.4999998697,0.4999998765,0.4999998829,0.4999998890,0.4999998948
5.2,0.4999999003,0.4999999055,0.4999999105,0.4999999152,0.4999999197,0.4999999239,0.4999999279,0.4999999317,0.4999999354,0.4999999388
5.3,0.4999999420,0.4999999451,0.4999999481,0.4999999508,0.4999999535,0.4999999560,0.4999999583,0.4999999606,0.4999999627,0.4999999647
5.4,0.4999999666,0.4999999684,0.4999999702,0.4999999718,0.4999999733,0.4999999748,0.4999999761,0.4999999774,0.4999999787,0.4999999799
5.5,0.4999999810,0.4999999820,0.4999999830,0.4999999839,0.4999999848,0.4999999857,0.4999999865,0.4999999872,0.4999999879,0.4999999886
5.6,0.4999999892,0.4999999898,0.4999999904,0.4999999909,0.4999999914,0.4999999919,0.4999999924,0.4999999928,0.4999999932,0.4999999936
5.7,0.4999999940,0.4999999943,0.4999999946,0.4999999949,0.4999999952,0.4999999955,0.4999999957,0.4999999960,0.4999999962,0.4999999964
5.8,0.4999999966,0.4999999968,0.4999999970,0.4999999972,0.4999999973,0.4999999975,0.4999999976,0.4999999978,0.4999999979,0.4999999980
5.9,0.4999999981,0.4999999982,0.4999999983,0.4999999984,0.4999999985,0.4999999986,0.4999999987,0.4999999988,0.4999999988,0.4999999989
